"X","-2*log(X)+3","3*exp(-0.2*X)","0.5*X^-0.3","0.1/X+3","1.0/(0.3*X+0.4)","X/(0.3+0.7*X)","0.55*sqrt(X)-0.75"
85 , -5.8853 , 1.24198e-07 , 0.131869 , 3.00118 , 0.03861 , 1.4214 , 4.32075
86 , -5.90869 , 1.01685e-07 , 0.131408 , 3.00116 , 0.0381679 , 1.42149 , 4.35049
87 , -5.93182 , 8.32525e-08 , 0.130953 , 3.00115 , 0.0377358 , 1.42157 , 4.38006
88 , -5.95467 , 6.81614e-08 , 0.130504 , 3.00114 , 0.0373134 , 1.42165 , 4.40946
89 , -5.97727 , 5.58058e-08 , 0.130063 , 3.00112 , 0.0369004 , 1.42173 , 4.43869
90 , -5.99962 , 4.56899e-08 , 0.129628 , 3.00111 , 0.0364964 , 1.4218 , 4.46776
91 , -6.02172 , 3.74078e-08 , 0.129199 , 3.0011 , 0.0361011 , 1.42188 , 4.49667
92 , -6.04358 , 3.06269e-08 , 0.128776 , 3.00109 , 0.0357143 , 1.42195 , 4.52541
93 , -6.0652 , 2.50752e-08 , 0.128359 , 3.00108 , 0.0353357 , 1.42202 , 4.55401
94 , -6.08659 , 2.05298e-08 , 0.127947 , 3.00106 , 0.034965 , 1.42209 , 4.58245
95 , -6.10775 , 1.68084e-08 , 0.127542 , 3.00105 , 0.0346021 , 1.42216 , 4.61074
96 , -6.1287 , 1.37615e-08 , 0.127142 , 3.00104 , 0.0342466 , 1.42222 , 4.63888
97 , -6.14942 , 1.1267e-08 , 0.126747 , 3.00103 , 0.0338983 , 1.42229 , 4.66687
98 , -6.16993 , 9.22464e-09 , 0.126358 , 3.00102 , 0.033557 , 1.42235 , 4.69472
99 , -6.19024 , 7.5525e-09 , 0.125974 , 3.00101 , 0.0332226 , 1.42241 , 4.72243
100 , -6.21034 , 6.18346e-09 , 0.125594 , 3.001 , 0.0328947 , 1.42248 , 4.75
101 , -6.23024 , 5.06259e-09 , 0.12522 , 3.00099 , 0.0325733 , 1.42254 , 4.77743
102 , -6.24995 , 4.1449e-09 , 0.12485 , 3.00098 , 0.0322581 , 1.42259 , 4.80473
103 , -6.26946 , 3.39356e-09 , 0.124486 , 3.00097 , 0.0319489 , 1.42265 , 4.83189
104 , -6.28878 , 2.77841e-09 , 0.124125 , 3.00096 , 0.0316456 , 1.42271 , 4.85892
105 , -6.30792 , 2.27477e-09 , 0.123769 , 3.00095 , 0.031348 , 1.42276 , 4.88582
106 , -6.32688 , 1.86242e-09 , 0.123418 , 3.00094 , 0.0310559 , 1.42282 , 4.9126
107 , -6.34566 , 1.52482e-09 , 0.123071 , 3.00093 , 0.0307692 , 1.42287 , 4.93924
108 , -6.36426 , 1.24842e-09 , 0.122728 , 3.00093 , 0.0304878 , 1.42292 , 4.96577
109 , -6.3827 , 1.02212e-09 , 0.122389 , 3.00092 , 0.0302115 , 1.42298 , 4.99217
110 , -6.40096 , 8.3684e-10 , 0.122054 , 3.00091 , 0.0299401 , 1.42303 , 5.01845
111 , -6.41906 , 6.85147e-10 , 0.121723 , 3.0009 , 0.0296736 , 1.42308 , 5.04461
112 , -6.437 , 5.60951e-10 , 0.121396 , 3.00089 , 0.0294118 , 1.42313 , 5.07065
113 , -6.45478 , 4.59268e-10 , 0.121073 , 3.00088 , 0.0291545 , 1.42317 , 5.09658
114 , -6.4724 , 3.76017e-10 , 0.120753 , 3.00088 , 0.0289017 , 1.42322 , 5.12239
115 , -6.48986 , 3.07856e-10 , 0.120437 , 3.00087 , 0.0286533 , 1.42327 , 5.14809
116 , -6.50718 , 2.52051e-10 , 0.120125 , 3.00086 , 0.0284091 , 1.42331 , 5.17368
117 , -6.52435 , 2.06362e-10 , 0.119816 , 3.00085 , 0.028169 , 1.42336 , 5.19916
118 , -6.54137 , 1.68955e-10 , 0.11951 , 3.00085 , 0.027933 , 1.4234 , 5.22453
119 , -6.55825 , 1.38329e-10 , 0.119208 , 3.00084 , 0.0277008 , 1.42344 , 5.24979
120 , -6.57498 , 1.13254e-10 , 0.118909 , 3.00083 , 0.0274725 , 1.42349 , 5.27495
121 , -6.59158 , 9.27246e-11 , 0.118614 , 3.00083 , 0.027248 , 1.42353 , 5.3
122 , -6.60804 , 7.59165e-11 , 0.118321 , 3.00082 , 0.027027 , 1.42357 , 5.32495
123 , -6.62437 , 6.21551e-11 , 0.118032 , 3.00081 , 0.0268097 , 1.42361 , 5.3498
124 , -6.64056 , 5.08883e-11 , 0.117745 , 3.00081 , 0.0265957 , 1.42365 , 5.37454
125 , -6.65663 , 4.16638e-11 , 0.117462 , 3.0008 , 0.0263852 , 1.42369 , 5.39919
126 , -6.67256 , 3.41115e-11 , 0.117181 , 3.00079 , 0.026178 , 1.42373 , 5.42373
127 , -6.68837 , 2.79281e-11 , 0.116904 , 3.00079 , 0.025974 , 1.42377 , 5.44819
128 , -6.70406 , 2.28656e-11 , 0.116629 , 3.00078 , 0.0257732 , 1.4238 , 5.47254
129 , -6.71962 , 1.87208e-11 , 0.116357 , 3.00078 , 0.0255754 , 1.42384 , 5.4968
130 , -6.73507 , 1.53273e-11 , 0.116088 , 3.00077 , 0.0253807 , 1.42388 , 5.52096
131 , -6.75039 , 1.25489e-11 , 0.115821 , 3.00076 , 0.0251889 , 1.42391 , 5.54504
132 , -6.7656 , 1.02742e-11 , 0.115557 , 3.00076 , 0.025 , 1.42395 , 5.56902
133 , -6.7807 , 8.41178e-12 , 0.115296 , 3.00075 , 0.0248139 , 1.42398 , 5.59291
134 , -6.79568 , 6.88699e-12 , 0.115037 , 3.00075 , 0.0246305 , 1.42402 , 5.61671
135 , -6.81055 , 5.63859e-12 , 0.114781 , 3.00074 , 0.0244499 , 1.42405 , 5.64042
136 , -6.82531 , 4.61648e-12 , 0.114527 , 3.00074 , 0.0242718 , 1.42408 , 5.66405
137 , -6.83996 , 3.77966e-12 , 0.114276 , 3.00073 , 0.0240964 , 1.42412 , 5.68758
138 , -6.85451 , 3.09452e-12 , 0.114027 , 3.00072 , 0.0239234 , 1.42415 , 5.71104
139 , -6.86895 , 2.53358e-12 , 0.11378 , 3.00072 , 0.023753 , 1.42418 , 5.7344
140 , -6.88328 , 2.07432e-12 , 0.113535 , 3.00071 , 0.0235849 , 1.42421 , 5.75769
141 , -6.89752 , 1.69831e-12 , 0.113293 , 3.00071 , 0.0234192 , 1.42424 , 5.78089
142 , -6.91165 , 1.39046e-12 , 0.113053 , 3.0007 , 0.0232558 , 1.42427 , 5.80401
143 , -6.92569 , 1.13841e-12 , 0.112816 , 3.0007 , 0.0230947 , 1.4243 , 5.82704
144 , -6.93963 , 9.32052e-13 , 0.11258 , 3.00069 , 0.0229358 , 1.42433 , 5.85
145 , -6.95347 , 7.631e-13 , 0.112347 , 3.00069 , 0.022779 , 1.42436 , 5.87288
146 , -6.96721 , 6.24773e-13 , 0.112115 , 3.00068 , 0.0226244 , 1.42439 , 5.89568
147 , -6.98087 , 5.11521e-13 , 0.111886 , 3.00068 , 0.0224719 , 1.42442 , 5.9184
148 , -6.99442 , 4.18798e-13 , 0.111658 , 3.00068 , 0.0223214 , 1.42445 , 5.94104
149 , -7.00789 , 3.42883e-13 , 0.111433 , 3.00067 , 0.0221729 , 1.42447 , 5.96361
150 , -7.02127 , 2.80729e-13 , 0.11121 , 3.00067 , 0.0220264 , 1.4245 , 5.9861
151 , -7.03456 , 2.29841e-13 , 0.110988 , 3.00066 , 0.0218818 , 1.42453 , 6.00851
152 , -7.04776 , 1.88178e-13 , 0.110769 , 3.00066 , 0.0217391 , 1.42455 , 6.03086
153 , -7.06088 , 1.54067e-13 , 0.110551 , 3.00065 , 0.0215983 , 1.42458 , 6.05312
154 , -7.07391 , 1.2614e-13 , 0.110335 , 3.00065 , 0.0214592 , 1.42461 , 6.07532
155 , -7.08685 , 1.03274e-13 , 0.110121 , 3.00065 , 0.021322 , 1.42463 , 6.09744
156 , -7.09971 , 8.45539e-14 , 0.109909 , 3.00064 , 0.0211864 , 1.42466 , 6.1195
157 , -7.11249 , 6.92268e-14 , 0.109698 , 3.00064 , 0.0210526 , 1.42468 , 6.14148
158 , -7.12519 , 5.66781e-14 , 0.10949 , 3.00063 , 0.0209205 , 1.42471 , 6.16339
159 , -7.13781 , 4.64041e-14 , 0.109283 , 3.00063 , 0.02079 , 1.42473 , 6.18524
160 , -7.15035 , 3.79925e-14 , 0.109077 , 3.00062 , 0.0206612 , 1.42476 , 6.20701
161 , -7.16281 , 3.11056e-14 , 0.108874 , 3.00062 , 0.0205339 , 1.42478 , 6.22872
162 , -7.17519 , 2.54671e-14 , 0.108671 , 3.00062 , 0.0204082 , 1.4248 , 6.25036
163 , -7.1875 , 2.08507e-14 , 0.108471 , 3.00061 , 0.020284 , 1.42483 , 6.27193
164 , -7.19973 , 1.70711e-14 , 0.108272 , 3.00061 , 0.0201613 , 1.42485 , 6.29344
165 , -7.21189 , 1.39767e-14 , 0.108075 , 3.00061 , 0.0200401 , 1.42487 , 6.31488
166 , -7.22398 , 1.14431e-14 , 0.107879 , 3.0006 , 0.0199203 , 1.42489 , 6.33625
167 , -7.23599 , 9.36883e-15 , 0.107685 , 3.0006 , 0.019802 , 1.42491 , 6.35757
168 , -7.24793 , 7.67055e-15 , 0.107492 , 3.0006 , 0.019685 , 1.42494 , 6.37881
169 , -7.2598 , 6.28012e-15 , 0.107301 , 3.00059 , 0.0195695 , 1.42496 , 6.4
170 , -7.2716 , 5.14173e-15 , 0.107111 , 3.00059 , 0.0194553 , 1.42498 , 6.42112
171 , -7.28333 , 4.20969e-15 , 0.106923 , 3.00058 , 0.0193424 , 1.425 , 6.44218
172 , -7.29499 , 3.4466e-15 , 0.106736 , 3.00058 , 0.0192308 , 1.42502 , 6.46318
173 , -7.30658 , 2.82184e-15 , 0.106551 , 3.00058 , 0.0191205 , 1.42504 , 6.48412
174 , -7.31811 , 2.31033e-15 , 0.106367 , 3.00057 , 0.0190114 , 1.42506 , 6.505
175 , -7.32957 , 1.89154e-15 , 0.106184 , 3.00057 , 0.0189036 , 1.42508 , 6.52582
176 , -7.34097 , 1.54866e-15 , 0.106003 , 3.00057 , 0.018797 , 1.4251 , 6.54657
177 , -7.3523 , 1.26793e-15 , 0.105823 , 3.00056 , 0.0186916 , 1.42512 , 6.56727
178 , -7.36357 , 1.0381e-15 , 0.105644 , 3.00056 , 0.0185874 , 1.42514 , 6.58792
179 , -7.37477 , 8.49921e-16 , 0.105466 , 3.00056 , 0.0184843 , 1.42516 , 6.6085
180 , -7.38591 , 6.95857e-16 , 0.10529 , 3.00056 , 0.0183824 , 1.42518 , 6.62902
181 , -7.39699 , 5.69719e-16 , 0.105115 , 3.00055 , 0.0182815 , 1.4252 , 6.64949
182 , -7.40801 , 4.66447e-16 , 0.104942 , 3.00055 , 0.0181818 , 1.42522 , 6.66991
183 , -7.41897 , 3.81894e-16 , 0.104769 , 3.00055 , 0.0180832 , 1.42523 , 6.69026
184 , -7.42987 , 3.12669e-16 , 0.104598 , 3.00054 , 0.0179856 , 1.42525 , 6.71056
185 , -7.44071 , 2.55991e-16 , 0.104428 , 3.00054 , 0.0178891 , 1.42527 , 6.73081
186 , -7.45149 , 2.09588e-16 , 0.10426 , 3.00054 , 0.0177936 , 1.42529 , 6.751
187 , -7.46222 , 1.71596e-16 , 0.104092 , 3.00053 , 0.0176991 , 1.4253 , 6.77114
188 , -7.47288 , 1.40491e-16 , 0.103926 , 3.00053 , 0.0176056 , 1.42532 , 6.79122
189 , -7.48349 , 1.15024e-16 , 0.10376 , 3.00053 , 0.0175131 , 1.42534 , 6.81125
190 , -7.49405 , 9.4174e-17 , 0.103596 , 3.00053 , 0.0174216 , 1.42536 , 6.83123
191 , -7.50455 , 7.71031e-17 , 0.103433 , 3.00052 , 0.017331 , 1.42537 , 6.85115
192 , -7.51499 , 6.31267e-17 , 0.103271 , 3.00052 , 0.0172414 , 1.42539 , 6.87102
193 , -7.52538 , 5.16838e-17 , 0.10311 , 3.00052 , 0.0171527 , 1.42541 , 6.89084
194 , -7.53572 , 4.23151e-17 , 0.102951 , 3.00052 , 0.0170648 , 1.42542 , 6.91061
195 , -7.546 , 3.46447e-17 , 0.102792 , 3.00051 , 0.0169779 , 1.42544 , 6.93033
196 , -7.55623 , 2.83647e-17 , 0.102634 , 3.00051 , 0.0168919 , 1.42545 , 6.95
197 , -7.56641 , 2.3223e-17 , 0.102478 , 3.00051 , 0.0168067 , 1.42547 , 6.96962
198 , -7.57653 , 1.90134e-17 , 0.102322 , 3.00051 , 0.0167224 , 1.42549 , 6.98919
199 , -7.58661 , 1.55669e-17 , 0.102168 , 3.0005 , 0.0166389 , 1.4255 , 7.0087
