"sec","10","sin(1Hz,0.7071Vrms)","cos(1Hz,0.7071Vrms)","sin(50Hz,0.7071Vrms)","cos(500Hz,1Vrms)","271Hz+50Hz+1Hz","271Hz+500Hz+10V"
0.036 , 10 , 0.224271 , 0.974527 , -0.951057 , 1 , -0.975819 , 10.0007
0.037 , 10 , 0.230389 , 0.973099 , -0.809017 , -1 , 0.332915 , 9.16883
0.038 , 10 , 0.236499 , 0.971632 , -0.587785 , 1 , 1.33871 , 11.9549
0.039 , 10 , 0.242599 , 0.970127 , -0.309017 , -1 , 0.241024 , 8.57991
0.04 , 10 , 0.24869 , 0.968583 , -4.89843e-16 , 1 , 0.124255 , 10.1557
0.041 , 10 , 0.254771 , 0.967001 , 0.309017 , -1 , 1.91827 , 9.64225
0.042 , 10 , 0.260842 , 0.965382 , 0.587785 , 1 , 2.2285 , 11.6753
0.043 , 10 , 0.266902 , 0.963724 , 0.809017 , -1 , 0.952789 , 8.18005
0.044 , 10 , 0.272952 , 0.962028 , 0.951057 , 1 , 1.4535 , 10.5404
0.045 , 10 , 0.278991 , 0.960294 , 1 , -1 , 2.90117 , 9.94088
0.046 , 10 , 0.285019 , 0.958522 , 0.951057 , 1 , 2.12159 , 11.212
0.047 , 10 , 0.291036 , 0.956712 , 0.809017 , -1 , 0.769063 , 8.00333
0.048 , 10 , 0.297042 , 0.954865 , 0.587785 , 1 , 1.59289 , 11.0502
0.049 , 10 , 0.303035 , 0.952979 , 0.309017 , -1 , 2.24544 , 9.98345
0.05 , 10 , 0.309017 , 0.951057 , 6.12303e-16 , 1 , 0.64204 , 10.691
0.051 , 10 , 0.314987 , 0.949096 , -0.309017 , -1 , -0.262055 , 8.09787
0.052 , 10 , 0.320944 , 0.947098 , -0.587785 , 1 , 0.905707 , 11.5464
0.053 , 10 , 0.326888 , 0.945063 , -0.809017 , -1 , 0.894408 , 9.75836
0.054 , 10 , 0.33282 , 0.942991 , -0.951057 , 1 , -0.754007 , 10.2541
0.055 , 10 , 0.338738 , 0.940881 , -1 , -1 , -0.621203 , 8.43792
0.056 , 10 , 0.344643 , 0.938734 , -0.951057 , 1 , 0.881519 , 11.8938
0.057 , 10 , 0.350534 , 0.93655 , -0.809017 , -1 , 0.454421 , 9.32689
0.058 , 10 , 0.356412 , 0.934329 , -0.587785 , 1 , -0.633311 , 10.0201
0.059 , 10 , 0.362275 , 0.932071 , -0.309017 , -1 , 0.553994 , 8.93094
0.06 , 10 , 0.368125 , 0.929776 , -7.34764e-16 , 1 , 1.9278 , 11.998
0.061 , 10 , 0.373959 , 0.927445 , 0.309017 , -1 , 1.04291 , 8.80645
0.062 , 10 , 0.379779 , 0.925077 , 0.587785 , 1 , 0.565764 , 10.0529
0.063 , 10 , 0.385584 , 0.922673 , 0.809017 , -1 , 2.17445 , 9.44276
0.064 , 10 , 0.391374 , 0.920232 , 0.951057 , 1 , 2.70188 , 11.8306
0.065 , 10 , 0.397148 , 0.917755 , 1 , -1 , 1.25644 , 8.33869
0.066 , 10 , 0.402906 , 0.915241 , 0.951057 , 1 , 1.20971 , 10.3434
0.067 , 10 , 0.408649 , 0.912692 , 0.809017 , -1 , 2.55579 , 9.83408
0.068 , 10 , 0.414376 , 0.910106 , 0.587785 , 1 , 1.93501 , 11.4371
0.069 , 10 , 0.420086 , 0.907484 , 0.309017 , -1 , 0.267405 , 8.0509
0.07 , 10 , 0.425779 , 0.904827 , -2.69549e-15 , 1 , 0.717446 , 10.8126
0.071 , 10 , 0.431456 , 0.902134 , -0.309017 , -1 , 1.59152 , 9.9984
0.072 , 10 , 0.437116 , 0.899405 , -0.587785 , 1 , 0.236293 , 10.9247
0.073 , 10 , 0.442758 , 0.896641 , -0.809017 , -1 , -0.890957 , 8.02142
0.074 , 10 , 0.448383 , 0.893841 , -0.951057 , 1 , 0.275604 , 11.3328
0.075 , 10 , 0.45399 , 0.891007 , -1 , -1 , 0.782013 , 9.89101
0.076 , 10 , 0.45958 , 0.888136 , -0.951057 , 1 , -0.630189 , 10.4327
0.077 , 10 , 0.465151 , 0.885231 , -0.809017 , -1 , -0.665527 , 8.25826
0.078 , 10 , 0.470704 , 0.882291 , -0.587785 , 1 , 1.05695 , 11.7624
0.079 , 10 , 0.476238 , 0.879316 , -0.309017 , -1 , 1.11142 , 9.54112
0.08 , 10 , 0.481754 , 0.876307 , -9.79685e-16 , 1 , -0.0285204 , 10.0952
0.081 , 10 , 0.48725 , 0.873262 , 0.309017 , -1 , 0.879244 , 8.69696
0.082 , 10 , 0.492727 , 0.870184 , 0.587785 , 1 , 2.44253 , 11.9846
0.083 , 10 , 0.498185 , 0.867071 , 0.809017 , -1 , 1.72006 , 9.04397
0.084 , 10 , 0.503623 , 0.863923 , 0.951057 , 1 , 0.818846 , 10.0039
0.085 , 10 , 0.509041 , 0.860742 , 1 , -1 , 2.07889 , 9.21814
0.086 , 10 , 0.51444 , 0.857527 , 0.951057 , 1 , 2.74732 , 11.9387
0.087 , 10 , 0.519817 , 0.854277 , 0.809017 , -1 , 1.19814 , 8.53485
0.088 , 10 , 0.525175 , 0.850994 , 0.587785 , 1 , 0.62244 , 10.1837
0.089 , 10 , 0.530511 , 0.847678 , 0.309017 , -1 , 1.83665 , 9.67995
0.09 , 10 , 0.535827 , 0.844328 , 1.10215e-15 , 1 , 1.48175 , 11.6374
0.091 , 10 , 0.541121 , 0.840945 , -0.309017 , -1 , -0.31575 , 8.15232
0.092 , 10 , 0.546394 , 0.837528 , -0.587785 , 1 , -0.164633 , 10.5856
0.093 , 10 , 0.551646 , 0.834078 , -0.809017 , -1 , 0.981773 , 9.95671
0.094 , 10 , 0.556876 , 0.830596 , -0.951057 , 1 , 0.0421765 , 11.1626
0.095 , 10 , 0.562083 , 0.827081 , -1 , -1 , -1.17243 , 8.00049
0.096 , 10 , 0.567269 , 0.823533 , -0.951057 , 1 , -0.0271622 , 11.1004
0.097 , 10 , 0.572432 , 0.819952 , -0.809017 , -1 , 0.984034 , 9.9731
0.098 , 10 , 0.577573 , 0.816339 , -0.587785 , 1 , -0.127858 , 10.6436
0.099 , 10 , 0.58269 , 0.812694 , -0.309017 , -1 , -0.375639 , 8.12068
0.1 , 10 , 0.587785 , 0.809017 , -1.22461e-15 , 1 , 1.3968 , 11.5878
0.101 , 10 , 0.592857 , 0.805308 , 0.309017 , -1 , 1.83898 , 9.72465
0.102 , 10 , 0.597905 , 0.801567 , 0.587785 , 1 , 0.61089 , 10.2215
0.103 , 10 , 0.60293 , 0.797794 , 0.809017 , -1 , 1.08699 , 8.48018
0.104 , 10 , 0.60793 , 0.79399 , 0.951057 , 1 , 2.66029 , 11.9152
0.105 , 10 , 0.612907 , 0.790155 , 1 , -1 , 2.06915 , 9.27899
0.106 , 10 , 0.61786 , 0.786288 , 0.951057 , 1 , 0.748693 , 10.0113
0.107 , 10 , 0.622788 , 0.782391 , 0.809017 , -1 , 1.57256 , 8.98115
0.108 , 10 , 0.627691 , 0.778462 , 0.587785 , 1 , 2.35986 , 11.9936
0.109 , 10 , 0.63257 , 0.774503 , 0.309017 , -1 , 0.840921 , 8.7574
0.11 , 10 , 0.637424 , 0.770513 , 4.89978e-15 , 1 , -0.159263 , 10.0702
0.111 , 10 , 0.642253 , 0.766493 , -0.309017 , -1 , 0.944726 , 9.48725
0.112 , 10 , 0.647056 , 0.762443 , -0.587785 , 1 , 0.976224 , 11.8016
0.113 , 10 , 0.651834 , 0.758362 , -0.809017 , -1 , -0.74882 , 8.30183
0.114 , 10 , 0.656586 , 0.754251 , -0.951057 , 1 , -0.814665 , 10.3821
0.115 , 10 , 0.661312 , 0.750111 , -1 , -1 , 0.610853 , 9.86074
0.116 , 10 , 0.666012 , 0.745941 , -0.951057 , 1 , 0.186258 , 11.3914
0.117 , 10 , 0.670686 , 0.741742 , -0.809017 , -1 , -1.031 , 8.03628
0.118 , 10 , 0.675333 , 0.737513 , -0.587785 , 1 , 0.0119376 , 10.8622
0.119 , 10 , 0.679953 , 0.733255 , -0.309017 , -1 , 1.42422 , 9.99998
0.12 , 10 , 0.684547 , 0.728969 , -1.46953e-15 , 1 , 0.603635 , 10.8747
0.121 , 10 , 0.689114 , 0.724653 , 0.309017 , -1 , 0.0666686 , 8.033
0.122 , 10 , 0.693653 , 0.720309 , 0.587785 , 1 , 1.68787 , 11.3798
0.123 , 10 , 0.698165 , 0.715936 , 0.809017 , -1 , 2.39202 , 9.86707
0.124 , 10 , 0.70265 , 0.711536 , 0.951057 , 1 , 1.05466 , 10.3921
0.125 , 10 , 0.707107 , 0.707107 , 1 , -1 , 1 , 8.29289
0.126 , 10 , 0.711536 , 0.70265 , 0.951057 , 1 , 2.4477 , 11.794
0.127 , 10 , 0.715936 , 0.698165 , 0.809017 , -1 , 2.00537 , 9.49819
0.128 , 10 , 0.720309 , 0.693653 , 0.587785 , 1 , 0.356361 , 10.0749
0.129 , 10 , 0.724653 , 0.689114 , 0.309017 , -1 , 0.74336 , 8.74523
0.13 , 10 , 0.728969 , 0.684547 , -1.96073e-15 , 1 , 1.67666 , 11.9921
0.131 , 10 , 0.733255 , 0.679953 , -0.309017 , -1 , 0.364653 , 8.99372
0.132 , 10 , 0.737513 , 0.675333 , -0.587785 , 1 , -0.902914 , 10.0095
0.133 , 10 , 0.741742 , 0.670686 , -0.809017 , -1 , 0.128571 , 9.2669
0.134 , 10 , 0.745941 , 0.666012 , -0.951057 , 1 , 0.635187 , 11.9202
0.135 , 10 , 0.750111 , 0.661312 , -1 , -1 , -0.84773 , 8.49096
0.136 , 10 , 0.754251 , 0.656586 , -0.951057 , 1 , -1.08076 , 10.2137
0.137 , 10 , 0.758362 , 0.651834 , -0.809017 , -1 , 0.558753 , 9.71594
0.138 , 10 , 0.762443 , 0.647056 , -0.587785 , 1 , 0.657176 , 11.5979
0.139 , 10 , 0.766493 , 0.642253 , -0.309017 , -1 , -0.540027 , 8.12674
0.14 , 10 , 0.770513 , 0.637424 , 5.39098e-15 , 1 , 0.269299 , 10.6319
0.141 , 10 , 0.774503 , 0.63257 , 0.309017 , -1 , 1.91171 , 9.97013
0.142 , 10 , 0.778462 , 0.627691 , 0.587785 , 1 , 1.32833 , 11.1129
0.143 , 10 , 0.782391 , 0.622788 , 0.809017 , -1 , 0.431982 , 8.00018
0.144 , 10 , 0.786288 , 0.61786 , 0.951057 , 1 , 1.71914 , 11.1502
0.145 , 10 , 0.790155 , 0.612907 , 1 , -1 , 2.5732 , 9.96029
0.146 , 10 , 0.79399 , 0.60793 , 0.951057 , 1 , 1.15608 , 10.5971
0.147 , 10 , 0.797794 , 0.60293 , 0.809017 , -1 , 0.557669 , 8.14572
0.148 , 10 , 0.801567 , 0.597905 , 0.587785 , 1 , 1.81338 , 11.6277
0.149 , 10 , 0.805308 , 0.592857 , 0.309017 , -1 , 1.59099 , 9.68911
0.15 , 10 , 0.809017 , 0.587785 , 5.38962e-15 , 1 , -0.221232 , 10.191
0.151 , 10 , 0.812694 , 0.58269 , -0.309017 , -1 , -0.202565 , 8.52376
0.152 , 10 , 0.816339 , 0.577573 , -0.587785 , 1 , 0.924116 , 11.9343
0.153 , 10 , 0.819952 , 0.572432 , -0.809017 , -1 , -0.00619544 , 9.23039
0.154 , 10 , 0.823533 , 0.567269 , -0.951057 , 1 , -1.37874 , 10.005
0.155 , 10 , 0.827081 , 0.562083 , -1 , -1 , -0.406506 , 9.03141
0.156 , 10 , 0.830596 , 0.556876 , -0.951057 , 1 , 0.592505 , 11.9867
0.157 , 10 , 0.834078 , 0.551646 , -0.809017 , -1 , -0.548407 , 8.70896
0.158 , 10 , 0.837528 , 0.546394 , -0.587785 , 1 , -0.951497 , 10.0899
0.159 , 10 , 0.840945 , 0.541121 , -0.309017 , -1 , 0.762615 , 9.53051
0.16 , 10 , 0.844328 , 0.535827 , -1.95937e-15 , 1 , 1.30634 , 11.7705
0.161 , 10 , 0.847678 , 0.530511 , 0.309017 , -1 , 0.106273 , 8.26674
0.162 , 10 , 0.850994 , 0.525175 , 0.587785 , 1 , 0.535387 , 10.4224
0.163 , 10 , 0.854277 , 0.519817 , 0.809017 , -1 , 2.21407 , 9.88523
0.164 , 10 , 0.857527 , 0.51444 , 0.951057 , 1 , 1.81014 , 11.3446
0.165 , 10 , 0.860742 , 0.509041 , 1 , -1 , 0.533125 , 8.02408
0.166 , 10 , 0.863923 , 0.503623 , 0.951057 , 1 , 1.36683 , 10.9121
0.167 , 10 , 0.867071 , 0.498185 , 0.809017 , -1 , 2.30624 , 9.99903
0.168 , 10 , 0.870184 , 0.492727 , 0.587785 , 1 , 0.90549 , 10.825
0.169 , 10 , 0.873262 , 0.48725 , 0.309017 , -1 , -0.156712 , 8.04702
0.17 , 10 , 0.876307 , 0.481754 , -1.47088e-15 , 1 , 0.907533 , 11.4258
0.171 , 10 , 0.879316 , 0.476238 , -0.309017 , -1 , 1.00817 , 9.84094
0.172 , 10 , 0.882291 , 0.470704 , -0.587785 , 1 , -0.764137 , 10.3529
0.173 , 10 , 0.885231 , 0.465151 , -0.809017 , -1 , -1.01455 , 8.32931
0.174 , 10 , 0.888136 , 0.45958 , -0.951057 , 1 , 0.332056 , 11.8235
0.175 , 10 , 0.891007 , 0.45399 , -1 , -1 , -0.092019 , 9.45399
0.176 , 10 , 0.893841 , 0.448383 , -0.951057 , 1 , -1.44566 , 10.057
0.177 , 10 , 0.896641 , 0.442758 , -0.809017 , -1 , -0.572121 , 8.79414
0.178 , 10 , 0.899405 , 0.437116 , -0.587785 , 1 , 0.846489 , 11.9972
0.179 , 10 , 0.902134 , 0.431456 , -0.309017 , -1 , 0.0659205 , 8.94348
0.18 , 10 , 0.904827 , 0.425779 , -2.20429e-15 , 1 , -0.556508 , 10.0177
0.181 , 10 , 0.907484 , 0.420086 , 0.309017 , -1 , 1.04409 , 9.31499
0.182 , 10 , 0.910106 , 0.414376 , 0.587785 , 1 , 1.90157 , 11.8994
0.183 , 10 , 0.912692 , 0.408649 , 0.809017 , -1 , 0.66602 , 8.44835
0.184 , 10 , 0.915241 , 0.402906 , 0.951057 , 1 , 0.599712 , 10.2457
0.185 , 10 , 0.917755 , 0.397148 , 1 , -1 , 2.14726 , 9.75011
0.186 , 10 , 0.920232 , 0.391374 , 0.951057 , 1 , 1.89931 , 11.5569
0.187 , 10 , 0.922673 , 0.385584 , 0.809017 , -1 , 0.29796 , 8.10336
0.188 , 10 , 0.925077 , 0.379779 , 0.587785 , 1 , 0.646621 , 10.6791
0.189 , 10 , 0.927445 , 0.373959 , 0.309017 , -1 , 1.66407 , 9.98109
0.19 , 10 , 0.929776 , 0.368125 , 5.87947e-15 , 1 , 0.430915 , 11.0628
0.191 , 10 , 0.932071 , 0.362275 , -0.309017 , -1 , -0.944354 , 8.00239
0.192 , 10 , 0.934329 , 0.356412 , -0.587785 , 1 , -0.0316634 , 11.1997
0.193 , 10 , 0.93655 , 0.350534 , -0.809017 , -1 , 0.48658 , 9.94506
0.194 , 10 , 0.938734 , 0.344643 , -0.951057 , 1 , -1.0548 , 10.5516
0.195 , 10 , 0.940881 , 0.338738 , -1 , -1 , -1.48834 , 8.17292
0.196 , 10 , 0.942991 , 0.33282 , -0.951057 , 1 , 0.0477749 , 11.666
0.197 , 10 , 0.945063 , 0.326888 , -0.809017 , -1 , 0.169705 , 9.65183
0.198 , 10 , 0.947098 , 0.320944 , -0.587785 , 1 , -1.10437 , 10.1625
0.199 , 10 , 0.949096 , 0.314987 , -0.309017 , -1 , -0.425487 , 8.56854
0.2 , 10 , 0.951057 , 0.309017 , -2.44921e-15 , 1 , 1.26007 , 11.9511
0.201 , 10 , 0.952979 , 0.303035 , 0.309017 , -1 , 0.793258 , 9.18121
0.202 , 10 , 0.954865 , 0.297042 , 0.587785 , 1 , -0.11391 , 10.0013
0.203 , 10 , 0.956712 , 0.291036 , 0.809017 , -1 , 1.18164 , 9.08159
0.204 , 10 , 0.958522 , 0.285019 , 0.951057 , 1 , 2.21334 , 11.9773
0.205 , 10 , 0.960294 , 0.278991 , 1 , -1 , 0.940253 , 8.66126
0.206 , 10 , 0.962028 , 0.272952 , 0.951057 , 1 , 0.335872 , 10.1119
0.207 , 10 , 0.963724 , 0.266902 , 0.809017 , -1 , 1.64835 , 9.57243
0.208 , 10 , 0.965382 , 0.260842 , 0.587785 , 1 , 1.58614 , 11.7375
0.209 , 10 , 0.967001 , 0.254771 , 0.309017 , -1 , -0.202705 , 8.23351
0.21 , 10 , 0.968583 , 0.24869 , -9.8104e-16 , 1 , -0.287137 , 10.4642
0.211 , 10 , 0.970127 , 0.242599 , -0.309017 , -1 , 0.841067 , 9.90748
0.212 , 10 , 0.971632 , 0.236499 , -0.587785 , 1 , -0.0542447 , 11.297
0.213 , 10 , 0.973099 , 0.230389 , -0.809017 , -1 , -1.56427 , 8.01436
0.214 , 10 , 0.974527 , 0.224271 , -0.951057 , 1 , -0.764476 , 10.9623
0.215 , 10 , 0.975917 , 0.218143 , -1 , -1 , 0.213705 , 9.99556
0.216 , 10 , 0.977268 , 0.212007 , -0.951057 , 1 , -0.96332 , 10.7757
0.217 , 10 , 0.978581 , 0.205863 , -0.809017 , -1 , -1.5397 , 8.06345
0.218 , 10 , 0.979855 , 0.19971 , -0.587785 , 1 , 0.0826287 , 11.4707
0.219 , 10 , 0.981091 , 0.193549 , -0.309017 , -1 , 0.697227 , 9.81269
0.22 , 10 , 0.982287 , 0.187381 , -9.79956e-15 , 1 , -0.497166 , 10.3155
0.221 , 10 , 0.983445 , 0.181206 , 0.309017 , -1 , -0.142347 , 8.36743
0.222 , 10 , 0.984564 , 0.175023 , 0.587785 , 1 , 1.6138 , 11.851
0.223 , 10 , 0.985645 , 0.168833 , 0.809017 , -1 , 1.3865 , 9.40865
0.224 , 10 , 0.986686 , 0.162637 , 0.951057 , 1 , 0.155172 , 10.0415
0.225 , 10 , 0.987688 , 0.156434 , 1 , -1 , 1 , 8.84357
0.226 , 10 , 0.988652 , 0.150226 , 0.951057 , 1 , 2.10097 , 11.9997
0.227 , 10 , 0.989576 , 0.144011 , 0.809017 , -1 , 0.846417 , 8.89339
0.228 , 10 , 0.990461 , 0.13779 , 0.587785 , 1 , -0.246056 , 10.0284
0.229 , 10 , 0.991308 , 0.131564 , 0.309017 , -1 , 0.802857 , 9.36228
0.23 , 10 , 0.992115 , 0.125333 , 6.36931e-15 , 1 , 1.00164 , 11.8763
0.231 , 10 , 0.992883 , 0.119097 , -0.309017 , -1 , -0.782777 , 8.40714
0.232 , 10 , 0.993611 , 0.112856 , -0.587785 , 1 , -1.19524 , 10.2797
0.233 , 10 , 0.994301 , 0.106611 , -0.809017 , -1 , 0.079985 , 9.78239
0.234 , 10 , 0.994951 , 0.100362 , -0.951057 , 1 , -0.336255 , 11.5144
0.235 , 10 , 0.995562 , 0.0941083 , -1 , -1 , -1.82365 , 8.08225
0.236 , 10 , 0.996134 , 0.0878512 , -0.951057 , 1 , -1.13616 , 10.727
0.237 , 10 , 0.996666 , 0.0815906 , -0.809017 , -1 , 0.26215 , 9.98958
0.238 , 10 , 0.997159 , 0.0753268 , -0.587785 , 1 , -0.499892 , 11.0126
0.239 , 10 , 0.997613 , 0.06906 , -0.309017 , -1 , -1.23284 , 8.00712
0.24 , 10 , 0.998027 , 0.0627905 , -2.93906e-15 , 1 , 0.31148 , 11.2487
0.241 , 10 , 0.998402 , 0.0565185 , 0.309017 , -1 , 1.29298 , 9.92745
0.242 , 10 , 0.998737 , 0.0502443 , 0.587785 , 1 , 0.145302 , 10.5073
0.243 , 10 , 0.999033 , 0.0439681 , 0.809017 , -1 , 0.0551907 , 8.20221
0.244 , 10 , 0.999289 , 0.0376902 , 0.951057 , 1 , 1.6914 , 11.7026
0.245 , 10 , 0.999507 , 0.0314108 , 1 , -1 , 1.64432 , 9.61291
0.246 , 10 , 0.999684 , 0.0251301 , 0.951057 , 1 , 0.112263 , 10.1361
0.247 , 10 , 0.999822 , 0.0188484 , 0.809017 , -1 , 0.442281 , 8.61442
0.248 , 10 , 0.999921 , 0.012566 , 0.587785 , 1 , 1.56573 , 11.9654
0.249 , 10 , 0.99998 , 0.00628314 , 0.309017 , -1 , 0.446864 , 9.13156
0.25 , 10 , 1 , 6.12303e-17 , -4.91198e-16 , 1 , -1 , 10
0.251 , 10 , 0.99998 , -0.00628314 , -0.309017 , -1 , -0.183736 , 9.13156
0.252 , 10 , 0.999921 , -0.012566 , -0.587785 , 1 , 0.36503 , 11.9654
0.253 , 10 , 0.999822 , -0.0188484 , -0.809017 , -1 , -1.21345 , 8.61442
0.254 , 10 , 0.999684 , -0.0251301 , -0.951057 , 1 , -1.84011 , 10.1361
0.255 , 10 , 0.999507 , -0.0314108 , -1 , -1 , -0.418504 , 9.61291
0.256 , 10 , 0.999289 , -0.0376902 , -0.951057 , 1 , -0.286097 , 11.7026
0.257 , 10 , 0.999033 , -0.0439681 , -0.809017 , -1 , -1.65078 , 8.20221
0.258 , 10 , 0.998737 , -0.0502443 , -0.587785 , 1 , -1.13076 , 10.5073
0.259 , 10 , 0.998402 , -0.0565185 , -0.309017 , -1 , 0.56191 , 9.92745
0.26 , 10 , 0.998027 , -0.0627905 , 3.92145e-15 , 1 , 0.185899 , 11.2487
0.261 , 10 , 0.997613 , -0.06906 , 0.309017 , -1 , -0.752926 , 8.00712
0.262 , 10 , 0.997159 , -0.0753268 , 0.587785 , 1 , 0.525024 , 11.0126
0.263 , 10 , 0.996666 , -0.0815906 , 0.809017 , -1 , 1.717 , 9.98958
0.264 , 10 , 0.996134 , -0.0878512 , 0.951057 , 1 , 0.590253 , 10.727
0.265 , 10 , 0.995562 , -0.0941083 , 1 , -1 , -0.0118629 , 8.08225
0.266 , 10 , 0.994951 , -0.100362 , 0.951057 , 1 , 1.36513 , 11.5144
0.267 , 10 , 0.994301 , -0.106611 , 0.809017 , -1 , 1.4848 , 9.78239
0.268 , 10 , 0.993611 , -0.112856 , 0.587785 , 1 , -0.24538 , 10.2797
0.269 , 10 , 0.992883 , -0.119097 , 0.309017 , -1 , -0.402937 , 8.40714
0.27 , 10 , 0.992115 , -0.125333 , 6.85915e-15 , 1 , 0.750973 , 11.8763
0.271 , 10 , 0.991308 , -0.131564 , -0.309017 , -1 , -0.078306 , 9.36228
0.272 , 10 , 0.990461 , -0.13779 , -0.587785 , 1 , -1.69721 , 10.0284
0.273 , 10 , 0.989576 , -0.144011 , -0.809017 , -1 , -1.05964 , 8.89339
0.274 , 10 , 0.988652 , -0.150226 , -0.951057 , 1 , -0.101598 , 11.9997
0.275 , 10 , 0.987688 , -0.156434 , -1 , -1 , -1.31287 , 8.84357
0.276 , 10 , 0.986686 , -0.162637 , -0.951057 , 1 , -2.07222 , 10.0415
0.277 , 10 , 0.985645 , -0.168833 , -0.809017 , -1 , -0.569201 , 9.40865
0.278 , 10 , 0.984564 , -0.175023 , -0.587785 , 1 , 0.0881862 , 11.851
0.279 , 10 , 0.983445 , -0.181206 , -0.309017 , -1 , -1.12279 , 8.36743
0.28 , 10 , 0.982287 , -0.187381 , 1.0782e-14 , 1 , -0.871928 , 10.3155
0.281 , 10 , 0.981091 , -0.193549 , 0.309017 , -1 , 0.928162 , 9.81269
0.282 , 10 , 0.979855 , -0.19971 , 0.587785 , 1 , 0.858779 , 11.4707
0.283 , 10 , 0.978581 , -0.205863 , 0.809017 , -1 , -0.333396 , 8.06345
0.284 , 10 , 0.977268 , -0.212007 , 0.951057 , 1 , 0.514779 , 10.7757
0.285 , 10 , 0.975917 , -0.218143 , 1 , -1 , 1.77742 , 9.99556
0.286 , 10 , 0.974527 , -0.224271 , 0.951057 , 1 , 0.689096 , 10.9623
0.287 , 10 , 0.973099 , -0.230389 , 0.809017 , -1 , -0.407017 , 8.01436
0.288 , 10 , 0.971632 , -0.236499 , 0.587785 , 1 , 0.648328 , 11.297
0.289 , 10 , 0.970127 , -0.242599 , 0.309017 , -1 , 0.973902 , 9.90748
0.29 , 10 , 0.968583 , -0.24869 , 1.42095e-14 , 1 , -0.784517 , 10.4642
0.291 , 10 , 0.967001 , -0.254771 , -0.309017 , -1 , -1.33028 , 8.23351
0.292 , 10 , 0.965382 , -0.260842 , -0.587785 , 1 , -0.111114 , 11.7375
