"step","time(sec)","fundamental","waveform","sawtooth","square","random"
47,0.00106576,0.995558,0.900578,0.235,1,0.147506
48,0.00108844,0.998024,0.885796,0.24,1,0.891527
49,0.00111111,0.999505,0.863618,0.245,1,0.863471
50,0.00113379,1,0.834967,0.25,1,0.58481
51,0.00115646,0.999508,0.801418,0.255,1,0.602316
52,0.00117914,0.99803,0.765011,0.26,1,0.957839
53,0.00120181,0.995567,0.728025,0.265,1,0.900634
54,0.00122449,0.992121,0.692732,0.27,1,0.933558
55,0.00124717,0.987696,0.661164,0.275,1,0.0824206
56,0.00126984,0.982297,0.634905,0.28,1,0.121395
57,0.00129252,0.975928,0.614935,0.285,1,0.400146
58,0.00131519,0.968597,0.60155,0.29,1,0.0278313
59,0.00133787,0.960309,0.594342,0.295,1,0.191119
60,0.00136054,0.951074,0.59226,0.3,1,0.0463901
61,0.00138322,0.9409,0.593737,0.305,1,0.0606035
62,0.0014059,0.929798,0.596866,0.31,1,0.716481
63,0.00142857,0.917778,0.599607,0.315,1,0.554086
64,0.00145125,0.904852,0.600003,0.32,1,0.855704
65,0.00147392,0.891034,0.596387,0.325,1,0.439303
66,0.0014966,0.876336,0.587546,0.33,1,0.895942
67,0.00151927,0.860774,0.572849,0.335,1,0.32747
68,0.00154195,0.844362,0.552292,0.34,1,0.677283
69,0.00156463,0.827117,0.526496,0.345,1,0.0928065
70,0.0015873,0.809055,0.496624,0.35,1,0.449351
71,0.00160998,0.790195,0.464254,0.355,1,0.326035
72,0.00163265,0.770556,0.431205,0.36,1,0.49766
73,0.00165533,0.750156,0.399338,0.365,1,0.130815
74,0.001678,0.729016,0.370362,0.37,1,0.908853
75,0.00170068,0.707156,0.345656,0.375,1,0.655897
76,0.00172336,0.684598,0.326124,0.38,1,0.774868
77,0.00174603,0.661365,0.31211,0.385,1,0.128838
78,0.00176871,0.63748,0.303366,0.39,1,0.920145
79,0.00179138,0.612965,0.299087,0.395,1,0.72355
80,0.00181406,0.587845,0.298001,0.4,1,0.254052
81,0.00183673,0.562145,0.298509,0.405,1,0.380209
82,0.00185941,0.535891,0.29886,0.41,1,0.443027
83,0.00188209,0.509108,0.297335,0.415,1,0.180049
84,0.00190476,0.481822,0.292432,0.42,1,0.129329
85,0.00192744,0.454061,0.28302,0.425,1,0.283349
86,0.00195011,0.425851,0.268461,0.43,1,0.976628
87,0.00197279,0.397222,0.248669,0.435,1,0.709445
88,0.00199546,0.3682,0.224117,0.44,1,0.842222
89,0.00201814,0.338816,0.195782,0.445,1,0.709571
90,0.00204082,0.309096,0.165042,0.45,1,0.438333
91,0.00206349,0.279072,0.133523,0.455,1,0.797969
92,0.00208617,0.248772,0.102925,0.46,1,0.875441
93,0.00210884,0.218227,0.0748425,0.465,1,0.702806
94,0.00213152,0.187467,0.050596,0.47,1,0.669883
95,0.0021542,0.156521,0.0310902,0.475,1,0.0115312
96,0.00217687,0.125421,0.0167204,0.48,1,0.97579
97,0.00219955,0.0941978,0.00733118,0.485,1,0.0827246
98,0.00222222,0.0628811,0.00223489,0.49,1,0.832227
99,0.0022449,0.0315024,0.000285174,0.495,1,0.868769
100,0.00226757,9.26536e-05,7.2926e-12,0.5,1,0.120305
101,0.00229025,-0.0313172,-0.000280189,0.505,0,0.127705
102,0.00231293,-0.0626962,-0.00221548,0.51,0,0.128872
103,0.0023356,-0.0940133,-0.00728945,0.515,0,0.956722
104,0.00235828,-0.125238,-0.0166508,0.52,0,0.350319
105,0.00238095,-0.156338,-0.0309903,0.525,0,0.796602
106,0.00240363,-0.187285,-0.0504664,0.53,0,0.59107
107,0.0024263,-0.218046,-0.0746871,0.535,0,0.927206
108,0.00244898,-0.248593,-0.10275,0.54,0,0.60032
109,0.00247166,-0.278894,-0.133338,0.545,0,0.431026
110,0.00249433,-0.30892,-0.164857,0.55,0,0.203395
111,0.00251701,-0.338641,-0.195606,0.555,0,0.387918
112,0.00253968,-0.368028,-0.223959,0.56,0,0.752449
113,0.00256236,-0.397052,-0.248537,0.565,0,0.687387
114,0.00258503,-0.425684,-0.26836,0.57,0,0.761495
115,0.00260771,-0.453896,-0.28295,0.575,0,0.231565
116,0.00263039,-0.481659,-0.29239,0.58,0,0.0699283
117,0.00265306,-0.508948,-0.297317,0.585,0,0.341038
118,0.00267574,-0.535734,-0.298858,0.59,0,0.296383
119,0.00269841,-0.561992,-0.298513,0.595,0,0.0470944
120,0.00272109,-0.587695,-0.298001,0.6,0,0.719237
121,0.00274376,-0.612818,-0.299073,0.605,0,0.669127
122,0.00276644,-0.637337,-0.303329,0.61,0,0.676491
123,0.00278912,-0.661226,-0.312043,0.615,0,0.694611
124,0.00281179,-0.684463,-0.326025,0.62,0,0.841209
125,0.00283447,-0.707025,-0.345525,0.625,0,0.534522
126,0.00285714,-0.728889,-0.370203,0.63,0,0.982806
127,0.00287982,-0.750033,-0.399157,0.635,0,0.875826
128,0.00290249,-0.770438,-0.431012,0.64,0,0.467286
129,0.00292517,-0.790082,-0.46406,0.645,0,0.252147
130,0.00294785,-0.808946,-0.496438,0.65,0,0.209912
131,0.00297052,-0.827012,-0.52633,0.655,0,0.819082
132,0.0029932,-0.844262,-0.552154,0.66,0,0.0307725
133,0.00301587,-0.860679,-0.572744,0.665,0,0.483708
134,0.00303855,-0.876247,-0.587477,0.67,0,0.269695
135,0.00306122,-0.89095,-0.596351,0.675,0,0.708128
136,0.0030839,-0.904773,-0.599995,0.68,0,0.0698802
137,0.00310658,-0.917704,-0.599618,0.685,0,0.008848
138,0.00312925,-0.929729,-0.596886,0.69,0,0.0909385
139,0.00315193,-0.940837,-0.593753,0.695,0,0.00148701
140,0.0031746,-0.951016,-0.59226,0.7,0,0.0213283
141,0.00319728,-0.960257,-0.594316,0.705,0,0.297183
142,0.00321995,-0.96855,-0.601491,0.71,0,0.351219
143,0.00324263,-0.975888,-0.614837,0.715,0,0.0286618
144,0.00326531,-0.982262,-0.634768,0.72,0,0.151987
145,0.00328798,-0.987667,-0.660993,0.725,0,0.612847
146,0.00331066,-0.992098,-0.692533,0.73,0,0.647458
147,0.00333333,-0.995549,-0.72781,0.735,0,0.828435
148,0.00335601,-0.998018,-0.764793,0.74,0,0.353433
149,0.00337868,-0.999502,-0.80121,0.745,0,0.155367
150,0.00340136,-1,-0.834782,0.75,0,0.726043
151,0.00342404,-0.999511,-0.863466,0.755,0,0.88556
152,0.00344671,-0.998036,-0.885686,0.76,0,0.464446
153,0.00346939,-0.995575,-0.900513,0.765,0,0.862893
154,0.00349206,-0.992133,-0.907787,0.77,0,0.893558
155,0.00351474,-0.987711,-0.908162,0.775,0,0.775763
156,0.00353741,-0.982314,-0.903064,0.78,0,0.423593
157,0.00356009,-0.975948,-0.894566,0.785,0,0.676442
158,0.00358277,-0.96862,-0.88519,0.79,0,0.594609
159,0.00360544,-0.960335,-0.877654,0.795,0,0.770213
160,0.00362812,-0.951102,-0.874589,0.8,0,0.19467
161,0.00365079,-0.940931,-0.878254,0.805,0,0.0973494
162,0.00367347,-0.929832,-0.890274,0.81,0,0.413588
163,0.00369615,-0.917815,-0.911447,0.815,0,0.809824
164,0.00371882,-0.904892,-0.941609,0.82,0,0.459345
165,0.0037415,-0.891076,-0.979615,0.825,0,0.832195
166,0.00376417,-0.876381,-1.02341,0.83,0,0.486403
167,0.00378685,-0.860821,-1.0702,0.835,0,0.933889
168,0.00380952,-0.844411,-1.11671,0.84,0,0.0345913
169,0.0038322,-0.827169,-1.15952,0.845,0,0.422112
170,0.00385488,-0.80911,-1.1954,0.85,0,0.889646
171,0.00387755,-0.790252,-1.22168,0.855,0,0.00514176
172,0.00390023,-0.770615,-1.23657,0.86,0,0.393355
173,0.0039229,-0.750217,-1.23937,0.865,0,0.0327638
174,0.00394558,-0.729079,-1.23069,0.87,0,0.168534
175,0.00396825,-0.707221,-1.21239,0.875,0,0.0752711
176,0.00399093,-0.684666,-1.18753,0.88,0,0.504976
177,0.00401361,-0.661435,-1.16013,0.885,0,0.795491
178,0.00403628,-0.637551,-1.1348,0.89,0,0.757961
179,0.00405896,-0.613038,-1.11634,0.895,0,0.165447
180,0.00408163,-0.58792,-1.10926,0.9,0,0.684543
181,0.00410431,-0.562222,-1.11724,0.905,0,0.739286
182,0.00412698,-0.535969,-1.14273,0.91,0,0.763331
183,0.00414966,-0.509187,-1.18657,0.915,0,0.143693
184,0.00417234,-0.481903,-1.24772,0.92,0,0.184025
185,0.00419501,-0.454143,-1.32315,0.925,0,0.967916
186,0.00421769,-0.425935,-1.40794,0.93,0,0.251812
187,0.00424036,-0.397307,-1.49546,0.935,0,0.989558
188,0.00426304,-0.368287,-1.5778,0.94,0,0.608506
189,0.00428571,-0.338903,-1.64628,0.945,0,0.570854
190,0.00430839,-0.309184,-1.69206,0.95,0,0.368703
191,0.00433107,-0.279161,-1.70683,0.955,0,0.406801
192,0.00435374,-0.248862,-1.68345,0.96,0,0.779306
193,0.00437642,-0.218318,-1.61655,0.965,0,0.175626
194,0.00439909,-0.187558,-1.50305,0.97,0,0.664155
195,0.00442177,-0.156613,-1.34245,0.975,0,0.01572
196,0.00444444,-0.125513,-1.13704,0.98,0,0.986141
197,0.00446712,-0.09429,-0.891831,0.985,0,0.197181
198,0.0044898,-0.0629736,-0.614305,0.99,0,0.551633
199,0.00451247,-0.031595,-0.313985,0.995,0,0.616986
200,0.00453515,-0.000185307,-0.00185307,1,0,0.897171
201,0.00455782,0.0312246,0.310349,0,1,0.635682
202,0.0045805,0.0626037,0.610874,0.005,1,0.674059
203,0.00460317,0.0939211,0.888728,0.01,1,0.844948
204,0.00462585,0.125146,1.13437,0.015,1,0.699438
205,0.00464853,0.156247,1.34028,0.02,1,0.576752
206,0.0046712,0.187194,1.50142,0.025,1,0.303476
207,0.00469388,0.217956,1.61549,0.03,1,0.968796
208,0.00471655,0.248503,1.68293,0.035,1,0.810981
209,0.00473923,0.278805,1.70679,0.04,1,0.387344
210,0.0047619,0.308832,1.69243,0.045,1,0.203725
211,0.00478458,0.338554,1.64696,0.05,1,0.96954
212,0.00480726,0.367942,1.5787,0.055,1,0.942509
213,0.00482993,0.396967,1.49647,0.06,1,0.986069
214,0.00485261,0.4256,1.40897,0.065,1,0.652417
215,0.00487528,0.453813,1.32411,0.07,1,0.0369815
216,0.00489796,0.481578,1.24853,0.075,1,0.203566
217,0.00492063,0.508868,1.1872,0.08,1,0.768724
218,0.00494331,0.535656,1.14314,0.085,1,0.00851875
219,0.00496599,0.561916,1.11743,0.09,1,0.749423
220,0.00498866,0.58762,1.10926,0.095,1,0.497841
221,0.00501134,0.612745,1.11619,0.1,1,0.863082
222,0.00503401,0.637265,1.13453,0.105,1,0.104919
223,0.00505669,0.661157,1.1598,0.11,1,0.405066
224,0.00507937,0.684396,1.18721,0.115,1,0.2641
225,0.00510204,0.706959,1.21213,0.12,1,0.894518
226,0.00512472,0.728825,1.23052,0.125,1,0.863263
227,0.00514739,0.749972,1.23934,0.13,1,0.119137
228,0.00517007,0.770379,1.23667,0.135,1,0.797263
229,0.00519274,0.790025,1.22193,0.14,1,0.591193
230,0.00521542,0.808892,1.19577,0.145,1,0.590325
231,0.0052381,0.82696,1.15999,0.15,1,0.408758
232,0.00526077,0.844213,1.11724,0.155,1,0.947656
233,0.00528345,0.860632,1.07075,0.16,1,0.689831
234,0.00530612,0.876202,1.02395,0.165,1,0.215287
235,0.0053288,0.890908,0.980102,0.17,1,0.45804
236,0.00535147,0.904734,0.942014,0.175,1,0.828255
237,0.00537415,0.917667,0.911751,0.18,1,0.501354
238,0.00539683,0.929695,0.89047,0.185,1,0.338441
239,0.0054195,0.940806,0.878344,0.19,1,0.412281
240,0.00544218,0.950988,0.874589,0.195,1,0.244982
241,0.00546485,0.960231,0.877587,0.2,1,0.914215
242,0.00548753,0.968527,0.885085,0.205,1,0.971333
243,0.0055102,0.975868,0.894455,0.21,1,0.789759
244,0.00553288,0.982245,0.902979,0.215,1,0.229368
245,0.00555556,0.987653,0.90813,0.22,1,0.602699
246,0.00557823,0.992086,0.907829,0.225,1,0.742837
247,0.00560091,0.99554,0.900642,0.23,1,0.046266
248,0.00562358,0.998012,0.885905,0.235,1,0.597024
249,0.00564626,0.999499,0.863769,0.24,1,0.855893
250,0.00566893,1,0.835152,0.245,1,0.573227
251,0.00569161,0.999514,0.801627,0.25,1,0.408574
252,0.00571429,0.998041,0.76523,0.255,1,0.778792
253,0.00573696,0.995584,0.72824,0.26,1,0.460164
254,0.00575964,0.992144,0.692931,0.265,1,0.719437
255,0.00578231,0.987725,0.661336,0.27,1,0.00437593
256,0.00580499,0.982332,0.635042,0.275,1,0.778432
257,0.00582766,0.975969,0.615034,0.28,1,0.791344
258,0.00585034,0.968643,0.601611,0.285,1,0.698359
259,0.00587302,0.960361,0.594368,0.29,1,0.238187
260,0.00589569,0.951131,0.59226,0.295,1,0.629372
261,0.00591837,0.940963,0.593722,0.3,1,0.0257653
262,0.00594104,0.929866,0.596847,0.305,1,0.132384
263,0.00596372,0.917851,0.599596,0.31,1,0.257618
264,0.00598639,0.904931,0.600011,0.315,1,0.338582
265,0.00600907,0.891118,0.596422,0.32,1,0.600311
266,0.00603175,0.876425,0.587615,0.325,1,0.635952
267,0.00605442,0.860868,0.572953,0.33,1,0.945277
268,0.0060771,0.844461,0.55243,0.335,1,0.326198
269,0.00609977,0.827221,0.526661,0.34,1,0.165703
270,0.00612245,0.809164,0.496809,0.345,1,0.93182
271,0.00614512,0.790309,0.464449,0.35,1,0.42588
272,0.0061678,0.770674,0.431398,0.355,1,0.150507
273,0.00619048,0.750278,0.399519,0.36,1,0.876285
274,0.00621315,0.729142,0.370522,0.365,1,0.3108
275,0.00623583,0.707287,0.345787,0.37,1,0.619812
276,0.0062585,0.684733,0.326223,0.375,1,0.570363
277,0.00628118,0.661504,0.312177,0.38,1,0.371467
278,0.00630385,0.637622,0.303404,0.385,1,0.609363
279,0.00632653,0.613111,0.299102,0.39,1,0.0504866
280,0.00634921,0.587995,0.298001,0.395,1,0.690353
281,0.00637188,0.562299,0.298505,0.4,1,0.716123
282,0.00639456,0.536047,0.298862,0.405,1,0.802847
283,0.00641723,0.509267,0.297353,0.41,1,0.888624
284,0.00643991,0.481984,0.292473,0.415,1,0.239119
285,0.00646259,0.454226,0.283091,0.42,1,0.13115
286,0.00648526,0.426019,0.268563,0.425,1,0.782007
287,0.00650794,0.397392,0.248801,0.43,1,0.0373971
288,0.00653061,0.368373,0.224274,0.435,1,0.846117
289,0.00655329,0.33899,0.195958,0.44,1,0.18778
290,0.00657596,0.309273,0.165228,0.445,1,0.393572
291,0.00659864,0.27925,0.133708,0.45,1,0.375924
292,0.00662132,0.248952,0.103099,0.455,1,0.177272
293,0.00664399,0.218408,0.074998,0.46,1,0.638223
294,0.00666667,0.187649,0.0507258,0.465,1,0.986882
295,0.00668934,0.156704,0.0311904,0.47,1,0.131273
296,0.00671202,0.125605,0.0167901,0.475,1,0.944761
297,0.00673469,0.0943823,0.00737306,0.48,1,0.0360497
298,0.00675737,0.0630661,0.0022544,0.485,1,0.740099
299,0.00678005,0.0316877,0.000290216,0.49,1,0.141933
300,0.00680272,0.000277961,1.96864e-10,0.495,1,0.767856
301,0.0068254,-0.031132,-0.000275263,0.5,0,0.285657
302,0.00684807,-0.0625113,-0.00219619,0.505,0,0.872694
303,0.00687075,-0.0938288,-0.00724788,0.51,0,0.599148
304,0.00689342,-0.125054,-0.0165814,0.515,0,0.340206
305,0.0069161,-0.156155,-0.0308905,0.52,0,0.372202
306,0.00693878,-0.187103,-0.050337,0.525,0,0.23744
307,0.00696145,-0.217866,-0.0745318,0.53,0,0.263392
308,0.00698413,-0.248413,-0.102576,0.535,0,0.7999
309,0.0070068,-0.278716,-0.133153,0.54,0,0.151997
310,0.00702948,-0.308744,-0.164672,0.545,0,0.157866
311,0.00705215,-0.338467,-0.195431,0.55,0,0.153947
312,0.00707483,-0.367856,-0.223802,0.555,0,0.689569
313,0.00709751,-0.396882,-0.248406,0.56,0,0.242407
314,0.00712018,-0.425516,-0.268258,0.565,0,0.17399
315,0.00714286,-0.45373,-0.282879,0.57,0,0.665104
316,0.00716553,-0.481497,-0.292349,0.575,0,0.887913
317,0.00718821,-0.508789,-0.297299,0.58,0,0.937621
318,0.00721088,-0.535578,-0.298856,0.585,0,0.277181
319,0.00723356,-0.561839,-0.298518,0.59,0,0.12183
320,0.00725624,-0.587545,-0.298001,0.595,0,0.570647
321,0.00727891,-0.612672,-0.299059,0.6,0,0.0693038
322,0.00730159,-0.637194,-0.303292,0.605,0,0.679323
323,0.00732426,-0.661087,-0.311977,0.61,0,0.716921
324,0.00734694,-0.684328,-0.325926,0.615,0,0.777768
325,0.00736961,-0.706894,-0.345394,0.62,0,0.795201
326,0.00739229,-0.728762,-0.370044,0.625,0,0.147646
327,0.00741497,-0.749911,-0.398976,0.63,0,0.292864
328,0.00743764,-0.770319,-0.430819,0.635,0,0.250981
329,0.00746032,-0.789968,-0.463865,0.64,0,0.5178
330,0.00748299,-0.808837,-0.496253,0.645,0,0.427823
331,0.00750567,-0.826908,-0.526164,0.65,0,0.0317745
332,0.00752834,-0.844163,-0.552016,0.655,0,0.291419
333,0.00755102,-0.860585,-0.57264,0.66,0,0.152217
334,0.0075737,-0.876158,-0.587408,0.665,0,0.83171
335,0.00759637,-0.890866,-0.596315,0.67,0,0.906583
336,0.00761905,-0.904694,-0.599987,0.675,0,0.0464786
337,0.00764172,-0.917631,-0.599629,0.68,0,0.00229699
338,0.0076644,-0.929661,-0.596905,0.685,0,0.419609
339,0.00768707,-0.940774,-0.593768,0.69,0,0.287692
340,0.00770975,-0.950959,-0.59226,0.695,0,0.0506028
341,0.00773243,-0.960205,-0.59429,0.7,0,0.544813
342,0.0077551,-0.968504,-0.601431,0.705,0,0.505669
343,0.00777778,-0.975847,-0.614739,0.71,0,0.283844
344,0.00780045,-0.982227,-0.634631,0.715,0,0.308544
345,0.00782313,-0.987638,-0.660821,0.72,0,0.933863
346,0.0078458,-0.992074,-0.692334,0.725,0,0.836171
347,0.00786848,-0.995532,-0.727594,0.73,0,0.528832
348,0.00789116,-0.998006,-0.764574,0.735,0,0.275768
349,0.00791383,-0.999496,-0.801001,0.74,0,0.808005
350,0.00793651,-1,-0.834596,0.745,0,0.352066
351,0.00795918,-0.999517,-0.863315,0.75,0,0.213275
352,0.00798186,-0.998047,-0.885576,0.755,0,0.810979
353,0.00800454,-0.995593,-0.900448,0.76,0,0.65562
354,0.00802721,-0.992156,-0.907765,0.765,0,0.815869
355,0.00804989,-0.98774,-0.908177,0.77,0,0.972716
356,0.00807256,-0.982349,-0.903106,0.775,0,0.515424
357,0.00809524,-0.975989,-0.894622,0.78,0,0.260674
358,0.00811791,-0.968666,-0.885243,0.785,0,0.338696
359,0.00814059,-0.960386,-0.877688,0.79,0,0.540757
360,0.00816327,-0.95116,-0.87459,0.795,0,0.418743
361,0.00818594,-0.940994,-0.878209,0.8,0,0.00819465
362,0.00820862,-0.9299,-0.890177,0.805,0,0.0955335
363,0.00823129,-0.917888,-0.911295,0.81,0,0.734729
364,0.00825397,-0.904971,-0.941406,0.815,0,0.905674
365,0.00827664,-0.89116,-0.979371,0.82,0,0.603472
366,0.00829932,-0.87647,-1.02314,0.825,0,0.260409
367,0.008322,-0.860915,-1.06992,0.83,0,0.353507
368,0.00834467,-0.844511,-1.11644,0.835,0,0.303316
369,0.00836735,-0.827273,-1.15928,0.84,0,0.148443
370,0.00839002,-0.809218,-1.19522,0.845,0,0.358032
371,0.0084127,-0.790366,-1.22156,0.85,0,0.889889
372,0.00843537,-0.770733,-1.23651,0.855,0,0.0979513
373,0.00845805,-0.75034,-1.23939,0.86,0,0.810831
374,0.00848073,-0.729206,-1.23077,0.865,0,0.400197
375,0.0085034,-0.707352,-1.21252,0.87,0,0.0834947
376,0.00852608,-0.684801,-1.18769,0.875,0,0.834881
377,0.00854875,-0.661574,-1.16029,0.88,0,0.236268
378,0.00857143,-0.637694,-1.13493,0.885,0,0.329279
379,0.0085941,-0.613184,-1.11642,0.89,0,0.281257
380,0.00861678,-0.58807,-1.10926,0.895,0,0.839904
381,0.00863946,-0.562375,-1.11714,0.9,0,0.765936
382,0.00866213,-0.536126,-1.14253,0.905,0,0.433367
383,0.00868481,-0.509347,-1.18626,0.91,0,0.652546
384,0.00870748,-0.482065,-1.24731,0.915,0,0.137496
385,0.00873016,-0.454308,-1.32267,0.92,0,0.723437
386,0.00875283,-0.426103,-1.40742,0.925,0,0.487072
387,0.00877551,-0.397477,-1.49495,0.93,0,0.768432
388,0.00879819,-0.368459,-1.57734,0.935,0,0.224181
389,0.00882086,-0.339077,-1.64593,0.94,0,0.335536
390,0.00884354,-0.309361,-1.69187,0.945,0,0.186287
391,0.00886621,-0.279339,-1.70685,0.95,0,0.967198
392,0.00888889,-0.249042,-1.68371,0.955,0,0.955088
393,0.00891156,-0.218499,-1.61708,0.96,0,0.17889
394,0.00893424,-0.18774,-1.50385,0.965,0,0.186261
395,0.00895692,-0.156796,-1.34353,0.97,0,0.0496739
396,0.00897959,-0.125697,-1.13837,0.975,0,0.9363
397,0.00900227,-0.0944745,-0.893381,0.98,0,0.684329
398,0.00902494,-0.0631585,-0.616019,0.985,0,0.898769
399,0.00904762,-0.0317803,-0.315802,0.99,0,0.968354
400,0.00907029,-0.000370614,-0.00370614,0.995,0,0.583071
401,0.00909297,0.0310394,0.30853,0,1,0.806044
402,0.00911565,0.0624188,0.609158,0.005,1,0.237235
403,0.00913832,0.0937366,0.887175,0.01,1,0.00508843
404,0.009161,0.124962,1.13303,0.015,1,0.227044
405,0.00918367,0.156064,1.33919,0.02,1,0.894115
406,0.00920635,0.187012,1.50061,0.025,1,0.850102
407,0.00922902,0.217775,1.61496,0.03,1,0.774131
408,0.0092517,0.248324,1.68266,0.035,1,0.00413471
409,0.00927438,0.278627,1.70677,0.04,1,0.189993
410,0.00929705,0.308656,1.69262,0.045,1,0.914707
411,0.00931973,0.33838,1.64731,0.05,1,0.455655
412,0.0093424,0.36777,1.57915,0.055,1,0.971243
413,0.00936508,0.396797,1.49698,0.06,1,0.472145
414,0.00938776,0.425432,1.40948,0.065,1,0.0134136
415,0.00941043,0.453648,1.32459,0.07,1,0.389726
416,0.00943311,0.481416,1.24894,0.075,1,0.471826
417,0.00945578,0.508709,1.18751,0.08,1,0.225572
418,0.00947846,0.5355,1.14335,0.085,1,0.39819
419,0.00950113,0.561762,1.11753,0.09,1,0.148856
420,0.00952381,0.58747,1.10926,0.095,1,0.872143
421,0.00954649,0.612599,1.11611,0.1,1,0.126947
422,0.00956916,0.637123,1.1344,0.105,1,0.0593063
423,0.00959184,0.661018,1.15964,0.11,1,0.796475
424,0.00961451,0.684261,1.18705,0.115,1,0.13646
425,0.00963719,0.706828,1.21199,0.12,1,0.514093
426,0.00965986,0.728698,1.23044,0.125,1,0.0980634
427,0.00968254,0.749849,1.23932,0.13,1,0.151461
428,0.00970522,0.77026,1.23672,0.135,1,0.264337
429,0.00972789,0.789911,1.22205,0.14,1,0.662031
430,0.00975057,0.808783,1.19596,0.145,1,0.0277946
431,0.00977324,0.826856,1.16022,0.15,1,0.44858
432,0.00979592,0.844113,1.11751,0.155,1,0.355965
433,0.00981859,0.860538,1.07103,0.16,1,0.535959
434,0.00984127,0.876113,1.02422,0.165,1,0.92208
435,0.00986395,0.890823,0.980347,0.17,1,0.353218
436,0.00988662,0.904655,0.942218,0.175,1,0.722964
437,0.0099093,0.917594,0.911904,0.18,1,0.979836
438,0.00993197,0.929627,0.890569,0.185,1,0.50054
439,0.00995465,0.940743,0.87839,0.19,1,0.598777
440,0.00997732,0.95093,0.87459,0.195,1,0.424969
441,0.01,0.96018,0.877554,0.2,1,0.639699
442,0.0100227,0.968481,0.885033,0.205,1,0.262654
443,0.0100454,0.975827,0.8944,0.21,1,0.0652162
444,0.010068,0.98221,0.902936,0.215,1,0.133577
445,0.0100907,0.987624,0.908114,0.22,1,0.103557
446,0.0101134,0.992063,0.90785,0.225,1,0.648239
447,0.0101361,0.995523,0.900707,0.23,1,0.218076
448,0.0101587,0.998001,0.886015,0.235,1,0.292556
449,0.0101814,0.999493,0.863919,0.24,1,0.424945
450,0.0102041,1,0.835337,0.245,1,0.689267
451,0.0102268,0.99952,0.801835,0.25,1,0.476205
452,0.0102494,0.998053,0.765449,0.255,1,0.085581
453,0.0102721,0.995601,0.728456,0.26,1,0.930728
454,0.0102948,0.992167,0.69313,0.265,1,0.0175476
455,0.0103175,0.987754,0.661508,0.27,1,0.00083332
456,0.0103401,0.982366,0.635179,0.275,1,0.193802
457,0.0103628,0.976009,0.615133,0.28,1,0.116238
458,0.0103855,0.968689,0.601671,0.285,1,0.647196
459,0.0104082,0.960412,0.594394,0.29,1,0.292421
460,0.0104308,0.951188,0.59226,0.295,1,0.142256
461,0.0104535,0.941025,0.593706,0.3,1,0.639084
462,0.0104762,0.929934,0.596828,0.305,1,0.908968
463,0.0104989,0.917925,0.599585,0.31,1,0.844068
